symbol,total_records,avg_volume,total_trades,avg_percent_change,avg_price_range,up_count,down_count,flat_count,volatility_rank,activity_rank,total_quote_volume,interpretation
BTCUSDT,952,794.9618609168452,149663456.0,-0.012180285673263139,440.9909860664517,450,484,1,1,1,46216545396.51874,Activity: BTCUSDT was active and ranked by volatility 1
ETHUSDT,961,13573.417634952497,143431860.0,-0.02365321035522852,15.702728249194411,460,484,1,2,2,21837559870.542114,Activity: ETHUSDT was active and ranked by volatility 2
SOLUSDT,966,112624.92109832642,38475756.0,0.004994923402026134,0.797333333333333,474,471,7,4,3,7496970256.561802,Activity: SOLUSDT was active and ranked by volatility 4
BNBUSDT,969,7475.63566945606,35935949.0,-0.010486499469709589,4.539229144667375,482,461,1,3,4,4302258015.9782095,Activity: BNBUSDT was active and ranked by volatility 3
XRPUSDT,969,4104006.104070981,28975256.0,-0.018290308427377208,0.010729915433403802,447,483,7,8,5,4388198572.4485235,Activity: XRPUSDT was active and ranked by volatility 8
DOGEUSDT,967,26105854.941238195,24616093.0,-0.01994175824863826,0.0008250579557428882,473,465,9,10,6,2120562558.9282777,Activity: DOGEUSDT was active and ranked by volatility 10
AVAXUSDT,963,115074.52493684227,9679412.0,-0.029906824137373746,0.08559042553191494,457,480,10,5,7,740222586.9373511,Activity: AVAXUSDT was active and ranked by volatility 5
LINKUSDT,953,97173.2464936441,5811762.0,-0.0194063731455189,0.0820096566523606,445,475,9,6,8,691678936.0176103,Activity: LINKUSDT was active and ranked by volatility 6
ADAUSDT,974,7385749.485952131,5164966.0,-0.029868328090456597,0.002265601703940369,456,466,32,9,9,1219555327.1509213,Activity: ADAUSDT was active and ranked by volatility 9
DOTUSDT,954,279503.51987328386,1468833.0,-0.03661361200487553,0.012052406417112296,435,443,69,7,10,257732441.91342008,Activity: DOTUSDT was active and ranked by volatility 7
